Search Title,Job Title,Company,Location,Salary Min,Salary Max,Category,Created,URL
International Trade Analyst,International Trade Compliance Analyst I,New York USA,US,60000.0,65000.0,Scientific & QA Jobs,2025-09-14T16:58:03Z,https://www.adzuna.com/details/5399375103?utm_medium=api&utm_source=866ee2f8
International Trade Analyst,International Trade Compliance Analyst I,Massachusetts USA,US,60000.0,65000.0,Scientific & QA Jobs,2025-09-14T17:06:08Z,https://www.adzuna.com/details/5399376505?utm_medium=api&utm_source=866ee2f8
International Trade Analyst,International Trade Compliance Analyst I,California USA,"Lemoore, Kings County",60000.0,65000.0,Scientific & QA Jobs,2025-09-14T18:08:43Z,https://www.adzuna.com/details/5399604573?utm_medium=api&utm_source=866ee2f8
International Trade Analyst,International Trade Compliance Analyst I,New Jersey USA,"Laurel Lake, Cumberland County",60000.0,65000.0,Scientific & QA Jobs,2025-09-14T18:07:34Z,https://www.adzuna.com/details/5399602336?utm_medium=api&utm_source=866ee2f8
International Trade Analyst,International Trade Compliance Analyst I,New Hampshire USA,"Merrimack, Hillsborough County",86425.39,86425.39,Scientific & QA Jobs,2025-09-14T19:24:14Z,https://www.adzuna.com/details/5399717581?utm_medium=api&utm_source=866ee2f8
International Trade Analyst,International Trade Compliance Analyst I,Virginia USA,"Bonsack, Roanoke",81698.12,81698.12,Scientific & QA Jobs,2025-09-14T18:40:29Z,https://www.adzuna.com/details/5399657782?utm_medium=api&utm_source=866ee2f8
International Trade Analyst,International Trade Compliance Analyst I (New Hampshire),"CAMP Systems International, Inc.","Waynesfield, Auglaize County",51600.46,51600.46,Scientific & QA Jobs,2025-09-12T14:34:16Z,https://www.adzuna.com/details/5396150578?utm_medium=api&utm_source=866ee2f8
International Trade Analyst,International Trade & Customs Senior Analyst,Elanco,"Greenfield, Hancock County",120000.0,120000.0,Logistics & Warehouse Jobs,2025-09-15T14:58:44Z,https://www.adzuna.com/details/5400446994?utm_medium=api&utm_source=866ee2f8
International Trade Analyst,Principal/Sr. Principal Int'l Trade Compliance Analyst,Northrop Grumman,"Hamel, Hennepin County",121961.78,121961.78,Logistics & Warehouse Jobs,2025-08-22T17:32:30Z,https://www.adzuna.com/land/ad/5364551802?se=TBN16a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=BA010F39B594BAC0BFDCA0BFEE1B8CD64FB6CB1E
International Trade Analyst,Principal/ Sr Principal Intl Trade Compliance Analyst,Northrop Grumman,"Elkton, Cecil County",140973.88,140973.88,Logistics & Warehouse Jobs,2025-09-06T08:19:55Z,https://www.adzuna.com/land/ad/5386704024?se=TBN16a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=D9CFE69B6EC64B11213CDB8ED532E817C8CDC8EB
International Trade Analyst,Principal/ Sr Principal Intl Trade Compliance Analyst,Northrop Grumman,"Keyser, Mineral County",166443.36,166443.36,Logistics & Warehouse Jobs,2025-09-05T18:46:18Z,https://www.adzuna.com/land/ad/5385745610?se=TBN16a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=5597F56C03148942E88E8B33604EECA718F0BA13
International Trade Analyst,Senior Trade Consultant,Expeditors,"Romulus, Wayne County",70728.31,70728.31,Legal Jobs,2025-06-04T12:19:27Z,https://www.adzuna.com/land/ad/5232961525?se=TBN16a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=C0F9B5E521B8460203E09AB2A79ABD80DDAC1EB4
International Trade Analyst,Senior Trade Consultant,Expeditors,"West Peabody, Essex County",84303.71,84303.71,Legal Jobs,2025-06-04T12:19:35Z,https://www.adzuna.com/land/ad/5232961844?se=TBN16a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=C96B4EAA57B3FDFF866D2B0C918B4B2F28971F7D
International Trade Analyst,Principal/ Sr Principal Intl Trade Compliance Analyst,Northrop Grumman,US,87000.0,130600.0,Logistics & Warehouse Jobs,2025-09-05T18:36:18Z,https://www.adzuna.com/details/5385741697?utm_medium=api&utm_source=866ee2f8
